,0,1,2,3,4,5,6,7
10,"{'interation': 0, 'entropy': np.float64(1.9947), 'u_calculated': [0.2680000000000002, 0.028000000000000018, 0.22000000000000017, 0.1360000000000001, 0.028000000000000018, 0.11200000000000009, 0.07600000000000005, 0.028000000000000018, 0.07600000000000005, 0.028000000000000018]}","{'interation': 1, 'entropy': np.float64(1.4794), 'u_calculated': [0.4287247360000016, 0.002308096000000004, 0.25197721600000034, 0.1646709760000002, 0.002308096000000004, 0.08961433600000025, 0.027890176000000075, 0.0023080960000000043, 0.027890176000000075, 0.002308096000000004]}","{'interation': 2, 'entropy': np.float64(1.0664), 'u_calculated': [0.6064926461158086, 1.595732956302281e-05, 0.1940490118129078, 0.15712034977142048, 1.595732956302281e-05, 0.03694461937105009, 0.002664771805284624, 1.595732956302282e-05, 0.002664771805284622, 1.595732956302281e-05]}","{'interation': 3, 'entropy': np.float64(0.6617), 'u_calculated': [0.79820999495828, 7.639009737159246e-10, 0.10087348097803339, 0.0963089343340612, 7.639009737159245e-10, 0.004564547407872765, 2.1519633088111223e-05, 7.639009737159253e-10, 2.1519633088111193e-05, 7.639009737159245e-10]}",,,,
11,"{'interation': 0, 'entropy': np.float64(1.6906), 'u_calculated': [0.06386175807663408, 0.29827197595792515, 0.023290758827948902, 0.4109691960931607, 0.023290758827948902, 0.06386175807663408, 0.023290758827948902, 0.023290758827948902, 0.023290758827948902, 0.023290758827948902, 0.023290758827948902]}","{'interation': 1, 'entropy': np.float64(0.9138), 'u_calculated': [0.019860629300109327, 0.3739707544682713, 0.0016021097560471637, 0.5750932186391676, 0.0016021097560471635, 0.019860629300109327, 0.0016021097560471637, 0.0016021097560471637, 0.0016021097560471637, 0.0016021097560471637, 0.0016021097560471637]}","{'interation': 2, 'entropy': np.float64(0.6667), 'u_calculated': [0.0013544818750457774, 0.34866186732164967, 7.692042562662474e-06, 0.6485753246302935, 7.692042562662472e-06, 0.0013544818750457772, 7.692042562662474e-06, 7.692042562662474e-06, 7.692042562662472e-06, 7.692042562662472e-06, 7.692042562662472e-06]}",,,,,
12,"{'interation': 0, 'entropy': np.float64(1.9354), 'u_calculated': [0.20023148148148037, 0.3252314814814815, 0.11689814814814849, 0.01967592592592591, 0.01967592592592591, 0.01967592592592591, 0.16550925925925883, 0.054398148148148216, 0.01967592592592591, 0.01967592592592591, 0.01967592592592591, 0.01967592592592591]}","{'interation': 1, 'entropy': np.float64(1.2645), 'u_calculated': [0.2512758713648412, 0.5128790815628905, 0.06332041011655846, 0.0011461914260958031, 0.0011461914260958031, 0.0011461914260958031, 0.14999946726414345, 0.014501829708893781, 0.0011461914260958036, 0.0011461914260958034, 0.0011461914260958034, 0.0011461914260958031]}","{'interation': 2, 'entropy': np.float64(0.8462), 'u_calculated': [0.22674837074975313, 0.6867096792680409, 0.012342308085105724, 3.938252726824878e-06, 3.938252726824878e-06, 3.938252726824879e-06, 0.07344909385101853, 0.0007229802769901213, 3.938252726824882e-06, 3.9382527268248795e-06, 3.93825272682488e-06, 3.938252726824879e-06]}","{'interation': 3, 'entropy': np.float64(0.4938), 'u_calculated': [0.14371721329171236, 0.8401373524845303, 0.0004538136105261011, 4.6529381457734245e-11, 4.6529381457734245e-11, 4.6529381457734265e-11, 0.01569003587061777, 1.5844168943175667e-06, 4.6529381457734336e-11, 4.652938145773429e-11, 4.6529381457734303e-11, 4.6529381457734265e-11]}",,,,
13,"{'interation': 0, 'entropy': np.float64(1.8241), 'u_calculated': [0.04688211197086935, 0.14519799726900276, 0.4701866181156104, 0.10150204824761012, 0.016841147018661812, 0.016841147018661812, 0.016841147018661812, 0.016841147018661812, 0.0714610832954027, 0.016841147018661812, 0.04688211197086935, 0.016841147018661812, 0.016841147018661812]}","{'interation': 1, 'entropy': np.float64(0.8643), 'u_calculated': [0.010823125445433476, 0.11738660800616704, 0.7686580205524537, 0.04820084466235349, 0.0008413195839037537, 0.0008413195839037538, 0.0008413195839037538, 0.0008413195839037538, 0.038219038800823744, 0.0008413195839037536, 0.010823125445433478, 0.0008413195839037538, 0.0008413195839037538]}","{'interation': 2, 'entropy': np.float64(0.2761), 'u_calculated': [0.00040288145666962926, 0.045825863791216545, 0.939329106592375, 0.007212585020160817, 2.1222649234087687e-06, 2.122264923408769e-06, 2.1222649234087687e-06, 2.1222649234087683e-06, 0.006811825828414573, 2.1222649234087666e-06, 0.00040288145666962915, 2.122264923408768e-06, 2.1222649234087674e-06]}",,,,,
14,"{'interation': 0, 'entropy': np.float64(2.0415), 'u_calculated': [0.25947521865889617, 0.15889212827988405, 0.24635568513119896, 0.08892128279883352, 0.040816326530612144, 0.014577259475218663, 0.014577259475218663, 0.014577259475218663, 0.08892128279883352, 0.014577259475218663, 0.014577259475218663, 0.014577259475218663, 0.014577259475218663, 0.014577259475218663]}","{'interation': 1, 'entropy': np.float64(1.3427), 'u_calculated': [0.44291160886808784, 0.166269349850191, 0.30299318720134005, 0.03727069552915074, 0.008234109035160152, 0.0006312942483679404, 0.0006312942483679403, 0.0006312942483679402, 0.03727069552915074, 0.0006312942483679401, 0.00063129424836794, 0.0006312942483679398, 0.0006312942483679397, 0.0006312942483679396]}","{'interation': 2, 'entropy': np.float64(0.9357), 'u_calculated': [0.6185415933795988, 0.10492819222268819, 0.26761221171676164, 0.004337622227789992, 0.000233197472639249, 1.1950941016081613e-06, 1.1950941016081606e-06, 1.1950941016081602e-06, 0.0043376222277899884, 1.1950941016081596e-06, 1.1950941016081592e-06, 1.1950941016081587e-06, 1.1950941016081583e-06, 1.1950941016081577e-06]}","{'interation': 3, 'entropy': np.float64(0.6138), 'u_calculated': [0.7851389557114159, 0.03315375158740416, 0.18159444063689495, 5.634362033225731e-05, 1.6478958628699696e-07, 4.284746321310104e-12, 4.2847463213101e-12, 4.284746321310098e-12, 5.634362033225725e-05, 4.2847463213100945e-12, 4.284746321310092e-12, 4.28474632131009e-12, 4.284746321310088e-12, 4.284746321310083e-12]}",,,,
15,"{'interation': 0, 'entropy': np.float64(1.9093), 'u_calculated': [0.01274074074074074, 0.07851851851851832, 0.4358518518518495, 0.11407407407407366, 0.01274074074074074, 0.01274074074074074, 0.03585185185185191, 0.08385185185185162, 0.01274074074074074, 0.01274074074074074, 0.01274074074074074, 0.13718518518518463, 0.01274074074074074, 0.01274074074074074, 0.01274074074074074]}","{'interation': 1, 'entropy': np.float64(1.0099), 'u_calculated': [0.00048284310481125646, 0.02923258579037731, 0.7205328717711705, 0.07417240447655243, 0.00048284310481125646, 0.00048284310481125646, 0.006371399507798605, 0.08528418963125459, 0.0004828431048112564, 0.0004828431048112564, 0.0004828431048112564, 0.08006096087953989, 0.00048284310481125646, 0.00048284310481125646, 0.00048284310481125646]}","{'interation': 2, 'entropy': np.float64(0.4176), 'u_calculated': [6.991872539575187e-07, 0.0026793307603396694, 0.9042895958936186, 0.01870732888435814, 6.991872539575189e-07, 6.991872539575188e-07, 0.00013959870468970812, 0.05533162466990581, 6.991872539575188e-07, 6.991872539575188e-07, 6.991872539575188e-07, 0.018846228401793955, 6.991872539575188e-07, 6.991872539575187e-07, 6.991872539575187e-07]}",,,,,
16,"{'interation': 0, 'entropy': np.float64(1.7307), 'u_calculated': [0.53857421875, 0.04931640625, 0.14599609375, 0.01123046875, 0.01123046875, 0.06982421875, 0.03173828125, 0.01123046875, 0.03173828125, 0.01123046875, 0.01123046875, 0.03173828125, 0.01123046875, 0.01123046875, 0.01123046875, 0.01123046875]}","{'interation': 1, 'entropy': np.float64(0.6958), 'u_calculated': [0.8141156753990799, 0.018597475020214915, 0.12566613336093724, 0.00037553743459284306, 0.00037553743459284306, 0.02322667301632464, 0.005004735430702567, 0.00037553743459284306, 0.005004735430702567, 0.00037553743459284306, 0.00037553743459284306, 0.005004735430702567, 0.00037553743459284306, 0.00037553743459284306, 0.00037553743459284306, 0.00037553743459284306]}","{'interation': 2, 'entropy': np.float64(0.2273), 'u_calculated': [0.945845551604569, 0.00161069549382928, 0.05058524341432816, 4.229791714810929e-07, 4.229791714810929e-07, 0.0016963800546674858, 8.610754000968425e-05, 4.229791714810929e-07, 8.610754000968423e-05, 4.229791714810929e-07, 4.229791714810929e-07, 8.610754000968423e-05, 4.229791714810929e-07, 4.2297917148109285e-07, 4.2297917148109285e-07, 4.229791714810928e-07]}",,,,,
17,"{'interation': 0, 'entropy': np.float64(2.1233), 'u_calculated': [0.06859352737634868, 0.32994097292897273, 0.209037248117243, 0.009973539588845915, 0.04416853246488916, 0.09179727254223462, 0.009973539588845915, 0.009973539588845915, 0.028292285772440393, 0.028292285772440393, 0.09179727254223462, 0.028292285772440393, 0.009973539588845915, 0.009973539588845915, 0.009973539588845915, 0.009973539588845915, 0.009973539588845915]}","{'interation': 1, 'entropy': np.float64(1.2828), 'u_calculated': [0.05907926644742098, 0.559994445222088, 0.2540941404222125, 0.00029643031006537727, 0.014985160418527058, 0.048761282601651884, 0.0002964303100653772, 0.0002964303100653772, 0.003984326601985793, 0.0039843266019857935, 0.048761282601651926, 0.0039843266019857935, 0.00029643031006537727, 0.00029643031006537727, 0.00029643031006537727, 0.00029643031006537727, 0.00029643031006537727]}","{'interation': 2, 'entropy': np.float64(0.741), 'u_calculated': [0.026840346359292614, 0.7376403341347828, 0.2179563401662858, 2.6356069096308046e-07, 0.0010444068855408758, 0.008176400699602987, 2.635606909630804e-07, 2.6356069096308035e-07, 5.455418981804062e-05, 5.4554189818040646e-05, 0.00817640069960298, 5.455418981804065e-05, 2.635606909630805e-07, 2.6356069096308046e-07, 2.635606909630804e-07, 2.6356069096308035e-07, 2.635606909630803e-07]}","{'interation': 3, 'entropy': np.float64(0.4127), 'u_calculated': [0.0034016640105924366, 0.8660531701746769, 0.13013723078164421, 2.08392676846743e-13, 3.613213398813161e-06, 0.00020214738751848457, 2.083926768467429e-13, 2.0839267684674285e-13, 9.01441946680557e-09, 9.014419466805578e-09, 0.00020214738751848414, 9.014419466805576e-09, 2.0839267684674308e-13, 2.0839267684674296e-13, 2.083926768467429e-13, 2.0839267684674285e-13, 2.0839267684674273e-13]}",,,,
18,"{'interation': 0, 'entropy': np.float64(2.1759), 'u_calculated': [0.33607681755829083, 0.07681755829903973, 0.07064471879286709, 0.1673525377229052, 0.12002743484224825, 0.025377229080932855, 0.056241426611797325, 0.025377229080932855, 0.008916323731138539, 0.008916323731138539, 0.008916323731138539, 0.025377229080932855, 0.025377229080932855, 0.008916323731138539, 0.008916323731138539, 0.008916323731138539, 0.008916323731138539, 0.008916323731138539]}","{'interation': 1, 'entropy': np.float64(1.3901), 'u_calculated': [0.5633866333796019, 0.09613104380754431, 0.0734874375732858, 0.15067148913747452, 0.08641127908957713, 0.003210396804800869, 0.015173851582227492, 0.0032103968048008687, 0.00023708477638104152, 0.00023708477638104152, 0.00023708477638104152, 0.0032103968048008687, 0.0032103968048008682, 0.00023708477638104158, 0.00023708477638104158, 0.00023708477638104158, 0.00023708477638104158, 0.00023708477638104158]}","{'interation': 2, 'entropy': np.float64(0.8768), 'u_calculated': [0.7547123337885243, 0.09685661806397745, 0.0496864446284378, 0.07345269490189875, 0.024422359124561557, 3.540483930849963e-05, 0.0007265813278751404, 3.540483930849964e-05, 1.686009208878905e-07, 1.6860092088789052e-07, 1.6860092088789055e-07, 3.540483930849969e-05, 3.5404839308499696e-05, 1.6860092088789063e-07, 1.6860092088789063e-07, 1.6860092088789066e-07, 1.6860092088789066e-07, 1.686009208878907e-07]}","{'interation': 3, 'entropy': np.float64(0.3974), 'u_calculated': [0.906554687734876, 0.0620620639109729, 0.013921213739389234, 0.015690035916972715, 0.0017703990485400652, 3.7962336362410794e-09, 1.5844632531411085e-06, 3.7962336362410794e-09, 8.527880198733278e-14, 8.52788019873328e-14, 8.527880198733284e-14, 3.7962336362410885e-09, 3.7962336362410885e-09, 8.52788019873329e-14, 8.52788019873329e-14, 8.527880198733293e-14, 8.527880198733293e-14, 8.5278801987333e-14]}",,,,
19,"{'interation': 0, 'entropy': np.float64(2.1534), 'u_calculated': [0.16197696457209254, 0.3421781600816367, 0.047383000437381695, 0.12436215191718769, 0.008018661612479952, 0.02288963405744269, 0.008018661612479952, 0.10949117947222531, 0.05088205277737301, 0.02288963405744269, 0.008018661612479952, 0.008018661612479952, 0.008018661612479952, 0.008018661612479952, 0.02288963405744269, 0.02288963405744269, 0.008018661612479952, 0.008018661612479952, 0.008018661612479952]}","{'interation': 1, 'entropy': np.float64(1.2133), 'u_calculated': [0.18610238959939188, 0.6187213790335797, 0.023373119511253752, 0.07479389595301096, 0.00019186561937790822, 0.0026150478087885102, 0.00019186561937790825, 0.07237071376360074, 0.012451520329578022, 0.0026150478087885094, 0.00019186561937790828, 0.0001918656193779083, 0.00019186561937790833, 0.00019186561937790836, 0.0026150478087885115, 0.0026150478087885115, 0.00019186561937790838, 0.00019186561937790838, 0.00019186561937790838]}","{'interation': 2, 'entropy': np.float64(0.5739), 'u_calculated': [0.12535510060153665, 0.836190548308605, 0.003348194723463936, 0.017272413039262895, 1.1042312162384724e-07, 2.3481635846752218e-05, 1.1042312162384728e-07, 0.017249041826537595, 0.0004897811489973492, 2.3481635846752215e-05, 1.1042312162384731e-07, 1.1042312162384733e-07, 1.1042312162384735e-07, 1.1042312162384736e-07, 2.3481635846752276e-05, 2.3481635846752283e-05, 1.1042312162384737e-07, 1.1042312162384737e-07, 1.1042312162384736e-07]}",,,,,
20,"{'interation': 0, 'entropy': np.float64(1.8813), 'u_calculated': [0.5037499999999601, 0.1602499999999962, 0.03275000000000002, 0.04325000000000003, 0.046250000000000034, 0.007250000000000006, 0.020750000000000015, 0.007250000000000006, 0.03275000000000002, 0.046250000000000034, 0.007250000000000006, 0.020750000000000015, 0.007250000000000006, 0.007250000000000006, 0.007250000000000006, 0.007250000000000006, 0.007250000000000006, 0.020750000000000015, 0.007250000000000006, 0.007250000000000006]}","{'interation': 1, 'entropy': np.float64(0.8137), 'u_calculated': [0.7629827400311348, 0.172170263468735, 0.0083151881562496, 0.01957498784374915, 0.010309433468749624, 0.0001569253437499932, 0.0021511706562499064, 0.0001569253437499932, 0.008315188156249605, 0.01030943346874962, 0.0001569253437499932, 0.002151170656249909, 0.0001569253437499932, 0.00015692534374999324, 0.00015692534374999324, 0.00015692534374999327, 0.00015692534374999327, 0.0021511706562499086, 0.00015692534374999327, 0.00015692534374999327]}","{'interation': 2, 'entropy': np.float64(0.3472), 'u_calculated': [0.8992081894923409, 0.09708640823077819, 0.00032020740547731495, 0.002344564399806711, 0.0003360169971167722, 7.386896178311269e-08, 1.5883460601236073e-05, 7.38689617831127e-08, 0.0003202074054773152, 0.00033601699711677225, 7.38689617831127e-08, 1.5883460601236104e-05, 7.38689617831127e-08, 7.386896178311273e-08, 7.386896178311273e-08, 7.386896178311277e-08, 7.386896178311277e-08, 1.5883460601236097e-05, 7.386896178311277e-08, 7.386896178311277e-08]}",,,,,
21,"{'interation': 0, 'entropy': np.float64(1.8114), 'u_calculated': [0.5579311089514706, 0.06295216499298159, 0.07526185077205519, 0.06295216499298159, 0.06295216499298159, 0.029910376849152463, 0.018896447467876085, 0.018896447467876085, 0.006586761688802499, 0.018896447467876085, 0.006586761688802499, 0.018896447467876085, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499, 0.006586761688802499]}","{'interation': 1, 'entropy': np.float64(0.5518), 'u_calculated': [0.8895183321149318, 0.023327000650153855, 0.024982915713941938, 0.023327000650153886, 0.02332700065015389, 0.006950318720409641, 0.001785499813453168, 0.0017854998134531675, 0.00012958474966486355, 0.0017854998134531662, 0.00012958474966486358, 0.0017854998134531662, 0.00012958474966486355, 0.00012958474966486358, 0.0001295847496648636, 0.0001295847496648636, 0.0001295847496648636, 0.00012958474966486363, 0.00012958474966486366, 0.00012958474966486366, 0.00012958474966486366]}",,,,,,
22,"{'interation': 0, 'entropy': np.float64(1.8095), 'u_calculated': [0.017280240420736333, 0.02742299023290753, 0.4861006761832941, 0.22126220886551015, 0.05785123966942113, 0.006010518407212619, 0.03869271224643109, 0.017280240420736333, 0.006010518407212619, 0.006010518407212619, 0.03869271224643109, 0.006010518407212619, 0.006010518407212619, 0.006010518407212619, 0.006010518407212619, 0.006010518407212619, 0.017280240420736333, 0.006010518407212619, 0.006010518407212619, 0.006010518407212619, 0.006010518407212619, 0.006010518407212619]}","{'interation': 1, 'entropy': np.float64(0.8375), 'u_calculated': [0.0014941650374380112, 0.005852683480924354, 0.6804424683056933, 0.27358857957801075, 0.01975268458149957, 0.00010794471860910806, 0.007238903799753284, 0.0014941650374380065, 0.00010794471860910809, 0.00010794471860910806, 0.007238903799753279, 0.00010794471860910809, 0.00010794471860910809, 0.00010794471860910809, 0.00010794471860910811, 0.00010794471860910811, 0.0014941650374380108, 0.00010794471860910811, 0.00010794471860910811, 0.00010794471860910811, 0.00010794471860910814, 0.00010794471860910814]}","{'interation': 2, 'entropy': np.float64(0.539), 'u_calculated': [7.657088891391475e-06, 0.00015820119955828516, 0.7803585061300855, 0.21777377341464052, 0.001354446921374263, 3.495367126962675e-08, 0.0001658233347784069, 7.657088891391428e-06, 3.495367126962677e-08, 3.495367126962675e-08, 0.00016582333477840687, 3.495367126962677e-08, 3.4953671269626774e-08, 3.495367126962678e-08, 3.49536712696268e-08, 3.495367126962681e-08, 7.657088891391475e-06, 3.495367126962681e-08, 3.495367126962681e-08, 3.495367126962682e-08, 3.495367126962684e-08, 3.495367126962685e-08]}",,,,,
23,"{'interation': 0, 'entropy': np.float64(2.0375), 'u_calculated': [0.3221007643626173, 0.015862579107421695, 0.015862579107421695, 0.3018821402153388, 0.10068217309115127, 0.06912139393441322, 0.025232185419577512, 0.025232185419577512, 0.015862579107421695, 0.0055066984466178946, 0.015862579107421695, 0.015862579107421695, 0.0055066984466178946, 0.0055066984466178946, 0.0055066984466178946, 0.0055066984466178946, 0.0055066984466178946, 0.0055066984466178946, 0.0055066984466178946, 0.015862579107421695, 0.0055066984466178946, 0.0055066984466178946, 0.0055066984466178946]}","{'interation': 1, 'entropy': np.float64(1.1154), 'u_calculated': [0.35161056714456035, 0.0012597844622215047, 0.0012597844622215045, 0.5277119749333046, 0.06807405227129094, 0.034123171657797546, 0.00496225892131777, 0.004962258921317774, 0.0012597844622215058, 9.063721609660675e-05, 0.0012597844622215062, 0.001259784462221506, 9.063721609660673e-05, 9.063721609660673e-05, 9.063721609660673e-05, 9.063721609660673e-05, 9.063721609660672e-05, 9.063721609660672e-05, 9.063721609660671e-05, 0.001259784462221506, 9.063721609660671e-05, 9.063721609660671e-05, 9.063721609660671e-05]}","{'interation': 2, 'entropy': np.float64(0.71), 'u_calculated': [0.28986435895929075, 5.4413469396848295e-06, 5.441346939684829e-06, 0.6889856011207378, 0.01621496276191908, 0.004674996597397784, 0.00011358069845350869, 0.00011358069845350881, 5.441346939684834e-06, 2.4643825636744825e-08, 5.441346939684837e-06, 5.441346939684836e-06, 2.4643825636744818e-08, 2.464382563674481e-08, 2.464382563674481e-08, 2.464382563674481e-08, 2.46438256367448e-08, 2.46438256367448e-08, 2.4643825636744785e-08, 5.4413469396848355e-06, 2.4643825636744782e-08, 2.4643825636744782e-08, 2.464382563674478e-08]}","{'interation': 3, 'entropy': np.float64(0.512), 'u_calculated': [0.20337479607632147, 8.962901656992953e-11, 8.962901656992948e-11, 0.7957642639604651, 0.0007921681946437084, 6.868638403116204e-05, 4.242333751681606e-08, 4.242333751681615e-08, 8.962901656992967e-11, 1.8219543961095032e-15, 8.962901656992979e-11, 8.962901656992975e-11, 1.821954396109503e-15, 1.8219543961095024e-15, 1.821954396109503e-15, 1.8219543961095032e-15, 1.821954396109502e-15, 1.8219543961095024e-15, 1.8219543961095005e-15, 8.96290165699298e-11, 1.821954396109501e-15, 1.8219543961095013e-15, 1.8219543961095013e-15]}",,,,
